Roll_no,Hindi,English,Science,Maths,History,Geograpgy,Total,Gender
1,94,56,4,67,91,50,362,Female
2,7,85,76,99,60,25,352,Female
3,88,46,59,94,52,38,377,Female
4,39,81,37,38,6,54,255,Female
5,51,43,14,53,64,59,284,Female
6,73,48,6,38,50,21,236,Female
7,18,23,97,65,15,20,238,Female
8,15,64,14,43,59,59,254,Female
9,53,85,96,76,83,62,455,Female
10,61,17,16,16,20,48,178,Female
11,49,10,81,13,39,86,278,Female
12,21,24,83,93,93,28,342,Female
13,93,57,6,94,23,84,357,Female
14,44,6,72,59,40,6,227,Female
15,52,55,39,93,58,46,343,Female
16,16,7,47,29,89,16,204,Female
17,93,86,36,39,26,78,358,Female
18,88,72,43,32,61,2,298,Female
19,38,46,55,86,92,3,320,Female
20,87,47,31,35,79,57,336,Female
21,77,5,95,8,21,52,258,Female
22,6,44,8,62,13,29,162,Female
23,16,78,56,74,34,12,270,Female
24,83,86,42,14,39,40,304,Female
25,51,75,8,7,35,2,178,Female
26,72,30,11,65,67,6,251,Female
27,1,16,93,94,13,63,280,Female
28,8,7,60,95,36,79,285,Female
29,93,41,42,98,72,84,430,Female
30,73,67,41,75,4,15,275,Female
31,57,1,48,64,38,72,280,Female
32,22,51,9,14,76,22,194,Female
33,29,32,66,29,88,26,270,Female
34,91,75,94,18,20,35,333,Female
35,29,29,83,45,82,59,327,Female
36,84,67,78,98,27,72,426,Female
37,66,87,33,66,54,28,334,Female
38,29,75,50,77,40,53,324,Female
39,31,35,90,73,40,47,316,Female
40,10,80,8,56,13,94,261,Female
41,72,94,21,33,74,69,363,Female
42,66,87,16,23,89,80,361,Female
43,55,15,24,1,25,97,217,Female
44,30,41,40,45,74,58,288,Female
45,33,13,30,2,3,22,103,Female
46,61,76,62,34,7,31,271,Female
47,96,69,25,48,55,84,377,Female
48,5,33,98,88,17,94,335,Female
49,16,40,31,47,77,32,243,Female
50,44,97,54,12,34,8,249,Female
51,94,73,93,73,20,4,357,Female
52,36,90,8,85,93,42,354,Female
53,14,82,97,51,48,47,339,Female
54,83,33,74,33,23,43,289,Female
55,4,53,69,94,25,57,302,Female
56,78,81,96,1,60,28,344,Female
57,23,11,48,34,15,67,198,Female
58,96,53,60,90,14,90,403,Female
59,17,26,8,66,0,38,155,Female
60,50,66,41,99,89,94,439,Female
61,84,41,40,75,41,57,338,Female
62,50,86,18,70,17,85,326,Female
63,18,90,17,48,37,48,258,Female
64,23,43,40,15,97,57,275,Female
65,27,92,28,43,71,0,261,Female
66,21,66,72,29,66,7,261,Female
67,80,37,9,6,1,17,150,Female
68,4,78,2,21,60,4,169,Female
69,80,29,73,65,38,83,368,Female
70,37,62,23,54,98,92,366,Female
71,71,67,43,56,1,56,294,Female
72,76,82,23,14,0,23,218,Female
73,73,23,82,27,60,29,294,Female
74,75,93,14,31,70,81,364,Female
75,98,45,93,21,40,95,392,Female
76,74,82,12,78,56,57,359,Female
77,54,60,59,65,71,16,325,Female
78,59,46,45,34,12,27,223,Female
79,78,48,5,20,25,59,235,Female
80,97,42,21,71,70,32,333,Female
81,77,87,4,49,26,37,280,Female
82,53,72,73,94,39,6,337,Female
83,52,33,22,10,40,83,240,Female
84,53,70,7,20,47,81,278,Female
85,58,66,92,70,79,50,415,Female
86,92,10,52,88,24,89,355,Female
87,64,84,76,72,25,45,366,Female
88,23,36,24,48,19,83,233,Female
89,63,68,8,62,79,29,309,Female
90,76,17,57,76,1,38,265,Female
91,54,93,21,16,10,30,224,Female
92,76,96,35,37,65,69,378,Female
93,68,26,95,43,2,24,258,Female
94,5,56,54,43,43,41,242,Female
95,82,39,28,3,8,72,232,Female
96,68,40,71,97,20,80,376,Female
97,28,98,47,61,35,19,288,Female
98,78,83,41,38,90,7,337,Female
99,33,80,69,29,91,82,384,Female
100,95,27,73,2,46,18,261,Female
101,65,35,61,65,12,54,292,Female
102,96,13,99,46,23,84,361,Female
103,87,65,96,69,22,81,420,Female
104,7,20,27,0,84,13,151,Female
105,97,79,22,16,20,91,325,Female
106,15,4,18,23,58,20,138,Female
107,44,71,73,34,39,29,290,Female
108,57,60,7,63,95,40,322,Female
109,55,19,23,47,33,20,197,Female
110,13,20,82,61,91,34,301,Female
111,52,82,79,47,6,98,364,Female
112,61,53,90,7,94,89,394,Female
113,76,76,94,36,1,73,356,Female
114,38,25,10,14,34,84,205,Female
115,84,22,5,57,83,80,331,Female
116,47,83,64,81,25,59,359,Female
117,48,74,50,73,29,36,310,Female
118,75,90,15,89,76,98,443,Female
119,69,46,76,27,12,41,271,Female
120,90,32,66,2,91,70,351,Female
121,27,75,10,22,30,89,253,Female
122,12,60,0,40,3,70,185,Female
123,5,36,23,65,61,73,263,Female
124,45,32,37,82,1,42,239,Female
125,79,1,82,28,69,19,278,Female
126,62,7,86,34,46,45,280,Female
127,60,74,20,34,23,83,294,Female
128,12,4,3,97,2,62,180,Female
129,15,97,41,24,54,38,269,Female
130,55,48,79,59,88,30,359,Female
131,45,5,92,53,63,17,275,Female
132,92,9,3,36,53,63,256,Female
133,2,81,55,34,46,38,256,Female
134,65,62,29,4,42,0,202,Female
135,31,65,74,3,6,86,265,Female
136,64,35,90,38,38,14,279,Female
137,43,81,44,51,20,60,299,Female
138,63,20,38,32,20,55,228,Female
139,79,56,57,61,54,37,344,Female
140,24,17,63,82,93,97,376,Female
141,51,2,17,43,60,56,229,Female
142,71,43,8,26,10,4,162,Female
143,13,19,29,21,60,6,148,Female
144,22,68,91,88,50,97,416,Female
145,32,24,94,85,74,84,393,Female
146,51,86,84,59,53,18,351,Female
147,4,30,79,21,17,40,191,Female
148,19,35,52,50,94,69,319,Female
149,87,96,61,56,74,86,460,Female
150,53,87,47,80,56,11,334,Female
151,82,62,96,37,79,71,427,Female
152,83,52,68,55,29,26,313,Female
153,62,96,48,20,23,33,282,Female
154,86,37,38,81,76,37,355,Female
155,95,13,19,49,50,76,302,Female
156,12,14,87,63,49,88,313,Female
157,81,75,72,84,43,67,422,Female
158,13,91,43,9,42,92,290,Female
159,85,91,13,32,45,22,288,Female
160,51,28,82,17,39,26,243,Female
161,73,1,75,8,74,23,254,Female
162,72,22,48,32,70,61,305,Female
163,7,83,75,63,90,30,348,Female
164,90,64,33,9,89,1,286,Female
165,54,57,21,68,25,36,261,Female
166,31,44,7,27,84,8,201,Female
167,44,33,24,6,21,74,202,Female
168,3,59,71,78,72,68,351,Female
169,8,82,39,61,10,71,271,Female
170,42,96,58,26,43,6,271,Female
171,66,8,32,17,13,12,148,Female
172,3,7,71,59,52,68,260,Female
173,3,54,42,30,72,28,229,Female
174,49,86,89,22,43,94,383,Female
175,28,23,95,83,14,53,296,Female
176,39,54,96,20,50,75,334,Female
177,94,44,87,48,19,73,365,Female
178,44,53,3,33,22,11,166,Female
179,33,18,42,32,62,75,262,Female
180,61,51,40,8,87,7,254,Female
181,20,98,52,11,85,25,291,Female
182,17,21,27,48,48,61,222,Female
183,76,48,10,76,21,79,310,Female
184,55,10,0,62,88,44,259,Female
185,87,41,16,72,67,9,292,Female
186,31,91,69,0,34,8,233,Female
187,89,7,69,9,81,54,309,Female
188,87,35,12,27,60,50,271,Female
189,65,91,29,96,84,98,463,Female
190,50,52,41,51,79,89,362,Female
191,91,57,79,71,59,44,401,Female
192,81,39,99,90,80,89,478,Female
193,43,31,5,60,79,29,247,Female
194,40,36,41,87,28,13,245,Female
195,86,76,32,25,99,72,390,Female
196,60,43,62,3,90,62,320,Female
197,12,59,84,19,58,56,288,Female
198,13,44,34,33,45,48,217,Female
199,98,11,93,42,93,6,343,Female
200,40,41,71,5,2,35,194,Female
201,72,19,57,70,43,85,346,Female
202,97,29,47,74,87,49,383,Female
203,61,31,46,30,81,19,268,Female
204,37,87,51,64,37,29,305,Female
205,33,15,33,89,20,30,220,Female
206,78,58,82,16,78,89,401,Female
207,7,27,65,80,31,85,295,Female
208,58,12,82,10,1,17,180,Female
209,98,16,48,40,91,81,374,Female
210,76,98,13,32,2,41,262,Female
211,36,0,17,43,84,92,272,Female
212,76,50,96,54,34,35,345,Female
213,39,21,13,23,63,97,256,Female
214,56,20,57,65,12,18,228,Female
215,50,13,42,10,32,19,166,Female
216,86,94,2,82,88,17,369,Female
217,8,25,24,18,28,0,103,Female
218,72,51,31,31,7,32,224,Female
219,91,87,25,49,65,97,414,Female
220,69,34,73,28,71,39,314,Female
221,70,76,10,6,70,35,267,Female
222,83,42,53,78,24,71,351,Female
223,93,26,99,89,14,89,410,Female
224,8,81,76,76,17,60,318,Female
225,21,35,26,35,24,47,188,Female
226,91,64,15,43,34,54,301,Female
227,80,34,97,63,3,85,362,Female
228,49,55,14,17,59,38,232,Female
229,93,49,91,40,86,75,434,Female
230,7,49,11,35,49,90,241,Female
231,36,90,25,27,93,50,321,Female
232,40,58,96,40,57,29,320,Female
233,12,5,53,70,99,47,286,Female
234,73,11,62,59,80,99,384,Female
235,59,37,94,75,44,55,364,Female
236,36,88,83,5,5,76,293,Female
237,53,61,70,28,83,44,339,Female
238,59,15,80,44,61,85,344,Female
239,73,34,58,88,6,12,271,Female
240,56,79,78,12,7,51,283,Female
241,89,48,7,16,73,42,275,Female
242,96,93,89,38,93,49,458,Female
243,3,35,38,49,62,83,270,Female
244,14,41,43,0,49,33,180,Female
245,99,68,50,89,97,47,450,Female
246,40,74,29,75,64,47,329,Female
247,89,70,13,1,44,99,316,Female
248,48,9,29,68,1,94,249,Female
249,17,14,36,75,95,75,312,Female
250,10,48,32,21,36,17,164,Female
251,77,99,78,57,73,53,437,Female
252,50,64,33,87,95,59,388,Female
253,7,83,15,50,88,30,273,Female
254,17,22,72,6,95,58,270,Female
255,62,56,51,51,94,74,388,Female
256,60,8,60,75,55,79,337,Female
257,46,97,6,28,35,56,268,Female
258,25,76,73,3,92,96,365,Female
259,84,0,59,53,21,45,262,Female
260,0,31,68,93,82,93,367,Female
261,40,88,85,22,52,52,339,Female
262,45,77,44,16,88,31,301,Female
263,69,66,6,36,72,24,273,Female
264,68,55,29,34,13,95,294,Female
265,26,76,37,24,90,44,297,Female
266,89,39,41,76,60,84,389,Female
267,78,72,71,51,65,46,383,Female
268,22,96,30,33,95,22,298,Female
269,48,48,96,3,55,63,313,Female
270,37,63,55,62,55,66,338,Female
271,1,51,46,33,28,83,242,Female
272,78,67,3,57,45,7,257,Female
273,39,6,44,24,43,15,171,Female
274,21,8,35,9,83,96,252,Female
275,44,14,6,10,27,40,141,Female
276,44,5,81,52,64,17,263,Female
277,65,64,73,29,19,54,304,Female
278,68,34,55,38,77,39,311,Female
279,27,72,51,89,86,65,390,Female
280,92,85,34,27,69,67,374,Female
281,42,81,33,85,45,29,315,Female
282,64,42,36,45,78,9,274,Female
283,58,16,41,36,66,62,279,Female
284,6,67,28,58,9,23,191,Female
285,50,79,60,8,15,36,248,Female
286,39,19,65,90,89,5,307,Female
287,70,52,75,10,14,8,229,Female
288,70,59,35,69,80,22,335,Female
289,4,97,33,32,95,37,298,Female
290,27,53,14,52,36,51,233,Female
291,71,64,28,32,4,10,209,Female
292,4,8,82,58,3,65,220,Female
293,64,20,34,37,55,74,284,Female
294,60,19,3,17,15,36,150,Female
295,21,36,36,82,1,39,215,Female
296,19,39,55,85,65,39,302,Female
297,78,61,25,13,48,82,307,Female
298,73,41,83,36,65,28,326,Female
299,7,20,1,30,75,5,138,Female
300,86,35,66,33,53,62,335,Female
301,51,8,43,13,58,2,175,Female
302,60,94,36,33,6,52,281,Female
303,94,67,32,51,64,73,381,Female
304,36,58,96,27,68,24,309,Female
305,7,93,47,27,52,94,320,Female
306,73,85,52,65,84,50,409,Female
307,96,60,96,1,38,1,292,Female
308,1,49,67,65,42,61,285,Female
309,99,33,32,18,50,48,280,Female
310,76,38,30,94,30,69,337,Female
311,3,67,81,59,33,84,327,Female
312,49,84,28,51,48,42,302,Female
313,88,10,61,43,90,93,385,Female
314,82,8,87,17,12,32,238,Female
315,24,26,86,76,64,6,282,Female
316,59,93,31,55,99,92,429,Female
317,94,94,30,41,17,49,325,Female
318,97,49,84,41,89,74,434,Female
319,20,18,42,51,20,75,226,Female
320,16,26,63,51,93,64,313,Female
321,93,96,22,96,28,80,415,Female
322,75,15,94,18,3,50,255,Female
323,72,30,75,98,49,38,362,Female
324,50,65,58,60,36,66,335,Female
325,68,24,21,45,47,88,293,Female
326,1,16,69,71,27,83,267,Female
327,16,30,50,95,19,60,270,Female
328,65,4,33,6,3,11,122,Female
329,92,28,99,25,91,80,415,Female
330,35,2,22,59,99,24,241,Female
331,6,61,0,27,9,78,181,Female
332,92,26,56,69,75,56,374,Female
333,30,29,61,6,64,64,254,Female
334,21,40,43,69,21,14,208,Female
335,89,14,57,18,2,99,279,Female
336,55,57,22,93,85,8,320,Female
337,81,83,84,66,55,62,431,Female
338,68,40,54,87,47,61,357,Female
339,98,61,13,56,42,51,321,Female
340,79,19,72,89,99,13,371,Female
341,64,73,77,42,90,51,397,Female
342,40,7,6,61,44,41,199,Female
343,88,79,45,87,18,6,323,Female
344,94,53,65,50,92,0,354,Female
345,43,7,58,77,66,50,301,Female
346,33,79,72,29,64,73,350,Female
347,99,27,88,83,63,26,386,Female
348,22,42,68,98,52,33,315,Female
349,70,40,45,30,10,99,294,Female
350,26,18,32,79,43,33,231,Female
351,98,89,41,51,79,86,444,Female
352,32,19,14,76,97,63,301,Female
353,62,72,83,76,46,17,356,Female
354,68,50,57,78,47,6,306,Female
355,88,38,70,76,30,47,349,Female
356,2,35,69,36,34,38,214,Female
357,47,10,88,81,7,7,240,Female
358,96,22,97,35,98,82,430,Female
359,48,32,89,22,13,84,288,Female
360,65,32,72,8,95,37,309,Female
361,48,88,26,69,67,86,384,Female
362,11,66,63,76,89,81,386,Female
363,46,13,46,33,34,37,209,Female
364,18,57,17,55,54,75,276,Female
365,58,46,77,48,58,90,377,Female
366,94,53,79,36,48,48,358,Female
367,2,14,28,38,83,26,191,Female
368,40,59,13,48,66,14,240,Female
369,43,41,4,15,77,90,270,Female
370,22,32,36,90,15,29,224,Female
371,63,7,96,27,39,14,246,Female
372,6,54,1,15,54,49,179,Female
373,67,48,85,53,41,50,344,Female
374,66,61,30,61,42,85,345,Female
375,48,58,98,67,87,44,402,Female
376,73,22,31,23,17,2,168,Female
377,11,82,31,35,2,85,246,Female
378,85,46,22,82,12,71,318,Female
379,96,41,97,68,50,76,428,Female
380,22,31,60,52,99,55,319,Female
381,28,95,22,38,27,24,234,Female
382,88,19,49,17,36,50,259,Female
383,13,52,11,77,95,57,305,Female
384,61,20,18,5,6,6,116,Female
385,55,51,41,41,25,46,259,Female
386,48,95,60,18,80,87,388,Female
387,1,63,66,31,3,24,188,Female
388,4,6,94,14,97,20,235,Female
389,3,20,0,38,65,28,154,Female
390,88,59,36,73,5,18,279,Female
391,94,15,6,73,46,64,298,Female
392,35,28,25,32,96,51,267,Female
393,52,60,41,1,20,88,262,Female
394,34,70,74,26,51,80,335,Female
395,44,26,42,34,94,33,273,Female
396,85,10,49,70,51,60,325,Female
397,70,27,91,37,5,58,288,Female
398,86,24,8,21,86,21,246,Female
399,72,56,64,64,19,62,337,Female
400,20,43,50,70,35,27,245,Female
401,27,80,10,58,29,63,267,Male
402,47,75,1,5,36,77,241,Male
403,4,65,45,79,89,47,329,Male
404,95,71,26,35,45,3,275,Male
405,34,91,44,77,95,79,420,Male
406,57,59,14,90,37,30,287,Male
407,29,72,84,10,57,67,319,Male
408,80,98,36,71,18,86,389,Male
409,83,0,37,60,76,43,299,Male
410,91,50,1,91,10,4,247,Male
411,65,69,4,53,11,66,268,Male
412,80,50,32,20,58,38,278,Male
413,27,92,15,28,76,64,302,Male
414,53,47,63,38,77,89,367,Male
415,60,46,45,90,96,79,416,Male
416,26,53,75,88,44,36,322,Male
417,70,34,27,67,55,29,282,Male
418,37,88,9,1,38,53,226,Male
419,59,84,84,23,5,37,292,Male
420,98,54,97,85,54,25,413,Male
421,6,57,72,32,16,37,220,Male
422,96,84,93,88,50,25,436,Male
423,37,19,41,2,99,67,265,Male
424,32,57,94,13,73,27,296,Male
425,29,25,12,45,93,69,273,Male
426,23,79,53,61,30,93,339,Male
427,44,23,49,85,64,10,275,Male
428,51,43,86,24,43,68,315,Male
429,75,38,51,34,84,44,326,Male
430,11,48,9,58,99,50,275,Male
431,43,41,90,40,23,68,305,Male
432,44,40,58,43,29,92,306,Male
433,53,89,73,25,52,25,317,Male
434,1,84,85,62,56,43,331,Male
435,77,76,22,35,1,14,225,Male
436,23,25,13,27,59,11,158,Male
437,89,23,76,83,1,93,365,Male
438,55,19,63,64,8,80,289,Male
439,11,87,18,27,90,50,283,Male
440,8,92,42,57,70,59,328,Male
441,94,70,30,77,11,39,321,Male
442,84,74,47,16,78,66,365,Male
443,81,24,10,25,44,65,249,Male
444,63,32,94,2,41,2,234,Male
445,71,48,30,25,8,82,264,Male
446,26,77,97,26,6,84,316,Male
447,38,37,70,9,28,72,254,Male
448,35,90,3,86,24,93,331,Male
449,57,25,9,99,39,48,277,Male
450,12,1,54,71,26,49,213,Male
451,66,80,56,82,94,26,404,Male
452,85,85,82,23,52,80,407,Male
453,58,44,67,62,10,12,253,Male
454,32,82,75,57,44,1,291,Male
455,19,42,55,93,59,1,269,Male
456,72,46,65,24,35,45,287,Male
457,82,2,5,43,20,64,216,Male
458,68,74,84,27,25,98,376,Male
459,81,47,90,50,45,9,322,Male
460,58,12,63,41,89,25,288,Male
461,32,63,20,63,87,11,276,Male
462,27,39,55,32,47,52,252,Male
463,92,6,60,14,56,41,269,Male
464,42,69,3,64,44,55,277,Male
465,52,97,10,62,20,12,253,Male
466,56,6,92,92,25,29,300,Male
467,24,22,41,16,29,16,148,Male
468,94,79,31,89,79,13,385,Male
469,12,70,12,55,80,0,229,Male
470,27,87,94,92,14,28,342,Male
471,94,17,62,71,21,27,292,Male
472,5,36,2,67,5,92,207,Male
473,0,47,11,7,77,90,232,Male
474,72,77,25,90,41,88,393,Male
475,94,98,56,53,87,24,412,Male
476,97,84,28,64,49,88,410,Male
477,96,87,48,44,38,43,356,Male
478,14,82,76,46,69,96,383,Male
479,29,26,94,73,82,46,350,Male
480,52,51,43,53,92,73,364,Male
481,87,45,72,15,34,18,271,Male
482,68,17,11,71,50,64,281,Male
483,78,65,24,53,14,2,236,Male
484,29,15,16,96,52,56,264,Male
485,47,19,22,45,63,99,295,Male
486,94,82,8,88,21,35,328,Male
487,85,42,77,57,73,29,363,Male
